Review text,Cleaned_Review,Processed_Review,Ratings,Sentiment,Sentiment_Label
"Quality is not good, rejected qualityREAD MORE",quality is not good rejected quality,quality good rejected quality,1,Negative,0
This green cap shuttle is very good for indoor as well as outdoor play. Though it has a slow speed and is durable. Thanks for a great dealREAD MORE,this green cap shuttle is very good for indoor as well as outdoor play though it has a slow speed and is durable thanks for a great deal,green cap shuttle good indoor well outdoor play though slow speed durable thanks great deal,5,Positive,1
Really Nice productQuick delivery Thanks filpkartREAD MORE,really nice productquick delivery thanks filpkart,really nice productquick delivery thanks filpkart,5,Positive,1
Very nice shuttleREAD MORE,very nice shuttle,nice shuttle,5,Positive,1
Horrible product....each shuttle didn't last even I single day....Extremely poor quality..PatheticREAD MORE,horrible producteach shuttle didnt last even i single dayextremely poor qualitypathetic,horrible producteach shuttle didnt last even single dayextremely poor qualitypathetic,1,Negative,0
Quality very low. Not orginalREAD MORE,quality very low not orginal,quality low orginal,1,Negative,0
WorstREAD MORE,worst,worst,1,Negative,0
Their is difference in online quality and market quality. local market products is far better than online productsREAD MORE,their is difference in online quality and market quality local market products is far better than online products,difference online quality market quality local market product far better online product,1,Negative,0
Dont but it.... worst productREAD MORE,dont but it worst product,dont worst product,1,Negative,0
Low quality very bad quality 😡READ MORE,low quality very bad quality,low quality bad quality,1,Negative,0
"The Product is not original, the cork used to come out within 2 days of its use. Please don't buy these shuttles it's not original. Rather buy from the shop itself, the shop rates are the same.READ MORE",the product is not original the cork used to come out within days of its use please dont buy these shuttles its not original rather buy from the shop itself the shop rates are the same,product original cork used come within day use please dont buy shuttle original rather buy shop shop rate,1,Negative,0
Quality was not good as earlier also the manufactur date also very long back. Earlier shuttlecocks I received with max past month manufacturer. But now that also too back.READ MORE,quality was not good as earlier also the manufactur date also very long back earlier shuttlecocks i received with max past month manufacturer but now that also too back,quality good earlier also manufactur date also long back earlier shuttlecock received max past month manufacturer also back,1,Negative,0
Not genuine productREAD MORE,not genuine product,genuine product,1,Negative,0
Waste productREAD MORE,waste product,waste product,1,Negative,0
I have used same shuttle before. This item is not the same quality. It's to slow. Disappointed that time.READ MORE,i have used same shuttle before this item is not the same quality its to slow disappointed that time,used shuttle item quality slow disappointed time,1,Negative,0
Very High PriceREAD MORE,very high price,high price,1,Negative,0
"Bad bad , compare to ah year back coming mavis 350READ MORE",bad bad compare to ah year back coming mavis,bad bad compare ah year back coming mavis,1,Negative,0
"The yonex Mavis 350 is the best among all the yonex shuttlecocks. I am playing with it for more than one year. But the price is increasing unnecessarily, it was Rs. 729 in the last year.READ MORE",the yonex mavis is the best among all the yonex shuttlecocks i am playing with it for more than one year but the price is increasing unnecessarily it was rs in the last year,yonex mavis best among yonex shuttlecock playing one year price increasing unnecessarily r last year,5,Positive,1
Very bad product quality i have used 3shuttle in only 3days Totally wastage of money Copied productREAD MORE,very bad product quality i have used shuttle in only days totally wastage of money copied product,bad product quality used shuttle day totally wastage money copied product,1,Negative,0
All shuttle's were heavier than the specifications. It felt like we were playing with a cheap rip off of the original MAVIS 350READ MORE,all shuttles were heavier than the specifications it felt like we were playing with a cheap rip off of the original mavis,shuttle heavier specification felt like playing cheap rip original mavis,1,Negative,0
3rd class quality  I want Returns but time is overREAD MORE,rd class quality i want returns but time is over,rd class quality want return time,1,Negative,0
Worst shuttle ever. The shuttles started spinning after few shots and did not even come for a game.READ MORE,worst shuttle ever the shuttles started spinning after few shots and did not even come for a game,worst shuttle ever shuttle started spinning shot even come game,1,Negative,0
Certain corks are damaged. Certain corks are not even came for 2 matchesREAD MORE,certain corks are damaged certain corks are not even came for matches,certain cork damaged certain cork even came match,1,Negative,0
Not expected qualityREAD MORE,not expected quality,expected quality,1,Negative,0
Bad quality.... couldn't play 1hr  by an shuttleREAD MORE,bad quality couldnt play hr by an shuttle,bad quality couldnt play hr shuttle,1,Negative,0
not durable. very poor qualityREAD MORE,not durable very poor quality,durable poor quality,1,Negative,0
but price is littel bit highREAD MORE,but price is littel bit high,price littel bit high,4,Positive,1
GoodREAD MORE,good,good,5,Positive,1
not the required one.READ MORE,not the required one,required one,5,Positive,1
This product is not original.please avoid online purchase.READ MORE,this product is not originalplease avoid online purchase,product originalplease avoid online purchase,1,Negative,0
One shuttle was damaged and vobling..let me know what to doREAD MORE,one shuttle was damaged and voblinglet me know what to do,one shuttle damaged voblinglet know,1,Negative,0
Good quality productREAD MORE,good quality product,good quality product,4,Positive,1
Good shuttle and  classic productREAD MORE,good shuttle and classic product,good shuttle classic product,5,Positive,1
got defective piecesREAD MORE,got defective pieces,got defective piece,1,Negative,0
"bad packing, unsatisfiedREAD MORE",bad packing unsatisfied,bad packing unsatisfied,1,Negative,0
Pros1. Quality product by yonex.It is original.2. Shuttle runs very long.3. Prompt delivery by flipkart.4. Shuttle is durable.Cons1.NoneREAD MORE,pros quality product by yonexit is original shuttle runs very long prompt delivery by flipkart shuttle is durableconsnone,pro quality product yonexit original shuttle run long prompt delivery flipkart shuttle durableconsnone,5,Positive,1
good quality..  nice product..  thanks fpr fast deliveryREAD MORE,good quality nice product thanks fpr fast delivery,good quality nice product thanks fpr fast delivery,5,Positive,1
Nice cockeREAD MORE,nice cocke,nice cocke,5,Positive,1
Good qualityREAD MORE,good quality,good quality,5,Positive,1
Scratch code mentioned in the barrel was verified in Yonex - Sunrise website. It mentioned that the product was duplicate.READ MORE,scratch code mentioned in the barrel was verified in yonex sunrise website it mentioned that the product was duplicate,scratch code mentioned barrel verified yonex sunrise website mentioned product duplicate,1,Negative,0
it's awsm 😎READ MORE,its awsm,awsm,4,Positive,1
reasonable priceREAD MORE,reasonable price,reasonable price,5,Positive,1
"Excellent Product , Its 100% original product which i have received , Fast Delivery , No second tough go for it.....READ MORE",excellent product its original product which i have received fast delivery no second tough go for it,excellent product original product received fast delivery second tough go,5,Positive,1
One of the best offer given by My flipkart. best shuttle for tournaments and training. Always use this type of shuttles for play. No.1- yonex 350mavis Green. thanks to flipkart for best deal . always put these type of deal . i have booked for 599 only.......READ MORE,one of the best offer given by my flipkart best shuttle for tournaments and training always use this type of shuttles for play no yonex mavis green thanks to flipkart for best deal always put these type of deal i have booked for only,one best offer given flipkart best shuttle tournament training always use type shuttle play yonex mavis green thanks flipkart best deal always put type deal booked,5,Positive,1
"good . no question about it . lasting for 15-20 matches . but you can purchase yonex mavis 350 blue one . little bit fast but good for smash , lasting same like green capREAD MORE",good no question about it lasting for matches but you can purchase yonex mavis blue one little bit fast but good for smash lasting same like green cap,good question lasting match purchase yonex mavis blue one little bit fast good smash lasting like green cap,4,Positive,1
Mavis 350 is quite durable and and really good for starters. But I recommend Mavis 500 for best practice sessions.READ MORE,mavis is quite durable and and really good for starters but i recommend mavis for best practice sessions,mavis quite durable really good starter recommend mavis best practice session,4,Positive,1
"Received product before committed time. Thanks flipkart... This mavis 350 is really awesome product. It doesn't matter whether you are beginners, intermediate or advanced level of player this mavis 350 is definitely perfectly works for all. I am playing with this from last 2 years.READ MORE",received product before committed time thanks flipkart this mavis is really awesome product it doesnt matter whether you are beginners intermediate or advanced level of player this mavis is definitely perfectly works for all i am playing with this from last years,received product committed time thanks flipkart mavis really awesome product doesnt matter whether beginner intermediate advanced level player mavis definitely perfectly work playing last year,4,Positive,1
"Good ,very nicely packed and everyshuttle was very nice insude with perfect flight.READ MORE",good very nicely packed and everyshuttle was very nice insude with perfect flight,good nicely packed everyshuttle nice insude perfect flight,5,Positive,1
"got this product earlier than expected at Rs689 on 7 th april 2018  on sale. box was properly sealed with Feb2018 packing/import date i m not sure but Mrp was 1040. so, for me it was way cheaper than market price here (Rs 750 per box). I also checked popular websites but no one was close to Flipkart at that point. I always use Mavis 350 green cap for its stability, durability and speed in open court. Thanks Flipkart, hoping cheaper deal again.READ MORE",got this product earlier than expected at rs on th april on sale box was properly sealed with feb packingimport date i m not sure but mrp was so for me it was way cheaper than market price here rs per box i also checked popular websites but no one was close to flipkart at that point i always use mavis green cap for its stability durability and speed in open court thanks flipkart hoping cheaper deal again,got product earlier expected r th april sale box properly sealed feb packingimport date sure mrp way cheaper market price r per box also checked popular website one close flipkart point always use mavis green cap stability durability speed open court thanks flipkart hoping cheaper deal,5,Positive,1
"This is the best choice for people who wants to practice both indoor and outdoor badminton and not get into financial obligations of feather shuttle. Mavis 300 is hard to find at times, so 350 is a savior as it's always available. Yellow ones are a bit better for outdoor and white is fine indoors because of their respective colours against the given backdrop. Flipkart has offered best price in almost all season so far. Longevity of the shuttles are starkly less when played with at outdoor due...READ MORE",this is the best choice for people who wants to practice both indoor and outdoor badminton and not get into financial obligations of feather shuttle mavis is hard to find at times so is a savior as its always available yellow ones are a bit better for outdoor and white is fine indoors because of their respective colours against the given backdrop flipkart has offered best price in almost all season so far longevity of the shuttles are starkly less when played with at outdoor due,best choice people want practice indoor outdoor badminton get financial obligation feather shuttle mavis hard find time savior always available yellow one bit better outdoor white fine indoors respective colour given backdrop flipkart offered best price almost season far longevity shuttle starkly less played outdoor due,5,Positive,1
"After a long time, got an entire box of genuine shuttles. Dynamic pricing strategy is a big no. Everyday prices can't go up and down. Otherwise we would be more than happy to buy.READ MORE",after a long time got an entire box of genuine shuttles dynamic pricing strategy is a big no everyday prices cant go up and down otherwise we would be more than happy to buy,long time got entire box genuine shuttle dynamic pricing strategy big everyday price cant go otherwise would happy buy,4,Positive,1
very good product n durable but not good enough speed slows down little in mid airREAD MORE,very good product n durable but not good enough speed slows down little in mid air,good product n durable good enough speed slows little mid air,4,Positive,1
The shuttles were imported in February 2018 (bought March last) and the serial number revealed after scratching the sticker shows that the item is genuine. Did not start to play yet. But the items look good and sturdy. Got it for 708 and i think it is worth for the price. Also happy to get the items delivered quickly.READ MORE,the shuttles were imported in february bought march last and the serial number revealed after scratching the sticker shows that the item is genuine did not start to play yet but the items look good and sturdy got it for and i think it is worth for the price also happy to get the items delivered quickly,shuttle imported february bought march last serial number revealed scratching sticker show item genuine start play yet item look good sturdy got think worth price also happy get item delivered quickly,4,Positive,1
Best shuttlecocks... It's life is far better than li ning or any other shuttle in this price range... I purchased it from rs654  during sale... It's flight is also better than other shuttlecocksREAD MORE,best shuttlecocks its life is far better than li ning or any other shuttle in this price range i purchased it from rs during sale its flight is also better than other shuttlecocks,best shuttlecock life far better li ning shuttle price range purchased r sale flight also better shuttlecock,5,Positive,1
Good n Nice balanced shuttles... Thanks retailnet n flipkart.. Hope we'l get more convincing rates of lowered one...READ MORE,good n nice balanced shuttles thanks retailnet n flipkart hope wel get more convincing rates of lowered one,good n nice balanced shuttle thanks retailnet n flipkart hope wel get convincing rate lowered one,4,Positive,1
"This shuttle is the best one, it is excellent 👍 price doesn't matter ❤️READ MORE",this shuttle is the best one it is excellent price doesnt matter,shuttle best one excellent price doesnt matter,5,Positive,1
"Quality  very bad,per day one cork finished,may be it look like duplicate  mavis 350 corks.I purchased  many cork boxes  from all sellers.that all cork  boxes  comes  15 days  for playing, but this box stays only 6 days ,so you understand  how delicate this cork box  isREAD MORE",quality very badper day one cork finishedmay be it look like duplicate mavis corksi purchased many cork boxes from all sellersthat all cork boxes comes days for playing but this box stays only days so you understand how delicate this cork box is,quality badper day one cork finishedmay look like duplicate mavis corksi purchased many cork box sellersthat cork box come day playing box stay day understand delicate cork box,1,Negative,0
Cost is too high I hate the productREAD MORE,cost is too high i hate the product,cost high hate product,1,Negative,0
Very poor quality...inconsistent speed...poor flightREAD MORE,very poor qualityinconsistent speedpoor flight,poor qualityinconsistent speedpoor flight,1,Negative,0
Yonex is always best in quality....READ MORE,yonex is always best in quality,yonex always best quality,5,Positive,1
worst shuttle... these doesn't last even for a day... very poor quality... not sure if it is due to stock issue or is that a copy product... I would never buy this through flipkart...READ MORE,worst shuttle these doesnt last even for a day very poor quality not sure if it is due to stock issue or is that a copy product i would never buy this through flipkart,worst shuttle doesnt last even day poor quality sure due stock issue copy product would never buy flipkart,1,Negative,0
"i have used this product. good for economic use. Durable and good balance. long lasting, even sustains wrong shots. Quiet economic when compared with Feather Shuttles.READ MORE",i have used this product good for economic use durable and good balance long lasting even sustains wrong shots quiet economic when compared with feather shuttles,used product good economic use durable good balance long lasting even sustains wrong shot quiet economic compared feather shuttle,5,Positive,1
I'm very happy with this product and its quality. It arrived before its actual delivery date given. Thanks Flipkart for your quick delivery.  I recommended it to everyone who would like to enjoy a longer and satisfied games.READ MORE,im very happy with this product and its quality it arrived before its actual delivery date given thanks flipkart for your quick delivery i recommended it to everyone who would like to enjoy a longer and satisfied games,im happy product quality arrived actual delivery date given thanks flipkart quick delivery recommended everyone would like enjoy longer satisfied game,5,Positive,1
Amazing shuttlecockDurable and of best qualityGo for it.READ MORE,amazing shuttlecockdurable and of best qualitygo for it,amazing shuttlecockdurable best qualitygo,5,Positive,1
checked at Sunrisetnt.com . found genuineREAD MORE,checked at sunrisetntcom found genuine,checked sunrisetntcom found genuine,5,Positive,1
Horrible!!! In my 1st order I received Mavis 200i which was not sealed and the bill was of Mavis 350 I thought it was mistake then i asked for replacement in replacement I received box of Mavis 350 which was again not sealed and inside were cheap shuttles of local quality. Do not buy from Flipkart.READ MORE,horrible in my st order i received mavis i which was not sealed and the bill was of mavis i thought it was mistake then i asked for replacement in replacement i received box of mavis which was again not sealed and inside were cheap shuttles of local quality do not buy from flipkart,horrible st order received mavis sealed bill mavis thought mistake asked replacement replacement received box mavis sealed inside cheap shuttle local quality buy flipkart,1,Negative,0
AverageREAD MORE,average,average,2,Negative,0
"Excellent synthetic shuttles from Yonex. I have used 350s, 500s as well as 2000s. I prefer these yellow ones for the visibility. In general the 350s are quite durable and long lasting (one shuttle can easily last half a dozen to a dozen intense games before the flight becomes unacceptable), and i found them to travel shorter distances than the 2000s and therefore prefer them.READ MORE",excellent synthetic shuttles from yonex i have used s s as well as s i prefer these yellow ones for the visibility in general the s are quite durable and long lasting one shuttle can easily last half a dozen to a dozen intense games before the flight becomes unacceptable and i found them to travel shorter distances than the s and therefore prefer them,excellent synthetic shuttle yonex used well prefer yellow one visibility general quite durable long lasting one shuttle easily last half dozen dozen intense game flight becomes unacceptable found travel shorter distance therefore prefer,5,Positive,1
Best shuttle available in the market. I have not used any other shuttles till now. So not aware of a better shuttle.The price I got it from Flipkart is really the best price. I have researched checking other online stores and sports shops. This is definitely the best price I could find.READ MORE,best shuttle available in the market i have not used any other shuttles till now so not aware of a better shuttlethe price i got it from flipkart is really the best price i have researched checking other online stores and sports shops this is definitely the best price i could find,best shuttle available market used shuttle till aware better shuttlethe price got flipkart really best price researched checking online store sport shop definitely best price could find,5,Positive,1
"Bad quality, i have pirchase 4 boxes but all are very fast.READ MORE",bad quality i have pirchase boxes but all are very fast,bad quality pirchase box fast,1,Negative,0
Best shuttle available online no more discription needed.READ MORE,best shuttle available online no more discription needed,best shuttle available online discription needed,5,Positive,1
long lasting product.....nice product....READ MORE,long lasting productnice product,long lasting productnice product,5,Positive,1
best shuttleREAD MORE,best shuttle,best shuttle,5,Positive,1
Fabulous itemREAD MORE,fabulous item,fabulous item,5,Positive,1
Nice quality.Very good product.I am very much thankful to Flipkart and the Courier company for delivering me so quickly.I am very happy.And I will definitely tell to my friends to order this product.READ MORE,nice qualityvery good producti am very much thankful to flipkart and the courier company for delivering me so quicklyi am very happyand i will definitely tell to my friends to order this product,nice qualityvery good producti much thankful flipkart courier company delivering quicklyi happyand definitely tell friend order product,5,Positive,1
Feels the quality is far less compared to previous set which was brought from other platform. 1 Shuttle is breaking or wobbling per 1 hr game session.. Feeling cheated..READ MORE,feels the quality is far less compared to previous set which was brought from other platform shuttle is breaking or wobbling per hr game session feeling cheated,feel quality far less compared previous set brought platform shuttle breaking wobbling per hr game session feeling cheated,1,Negative,0
This is the original mavis 350READ MORE,this is the original mavis,original mavis,5,Positive,1
Bad quality and poor quality while playing the ahuttles caps or looseREAD MORE,bad quality and poor quality while playing the ahuttles caps or loose,bad quality poor quality playing ahuttles cap loose,1,Negative,0
Poor quality. It was horrible. I didn't play two games with each shuttleREAD MORE,poor quality it was horrible i didnt play two games with each shuttle,poor quality horrible didnt play two game shuttle,1,Negative,0
Worst product. Every ball in this box got flat within one or two strokes. The disappointed fact is Flipkart is not accepting the replacement because of open box delivery. Without using the product how could I know the quality?READ MORE,worst product every ball in this box got flat within one or two strokes the disappointed fact is flipkart is not accepting the replacement because of open box delivery without using the product how could i know the quality,worst product every ball box got flat within one two stroke disappointed fact flipkart accepting replacement open box delivery without using product could know quality,1,Negative,0
Best oneREAD MORE,best one,best one,5,Positive,1
Excellent product👌READ MORE,excellent product,excellent product,5,Positive,1
Very Bad Quality in filpkartREAD MORE,very bad quality in filpkart,bad quality filpkart,1,Negative,0
Don't have good qualityREAD MORE,dont have good quality,dont good quality,1,Negative,0
Quality of 2 shuttles not as per Mavis 350 standards.READ MORE,quality of shuttles not as per mavis standards,quality shuttle per mavis standard,1,Negative,0
It's is good product and the service was very goodREAD MORE,its is good product and the service was very good,good product service good,5,Positive,1
2nd qualityREAD MORE,nd quality,nd quality,1,Negative,0
Very old stock.. not lasts to even 5 gamesREAD MORE,very old stock not lasts to even games,old stock last even game,2,Negative,0
All shuttles are not good in view of balance.READ MORE,all shuttles are not good in view of balance,shuttle good view balance,1,Negative,0
OkREAD MORE,ok,ok,5,Positive,1
Nice product all suttles are good 🥰🥰READ MORE,nice product all suttles are good,nice product suttles good,5,Positive,1
Nice productREAD MORE,nice product,nice product,5,Positive,1
Old one onlyREAD MORE,old one only,old one,2,Negative,0
Super ballREAD MORE,super ball,super ball,5,Positive,1
According to cost it's average lifeREAD MORE,according to cost its average life,according cost average life,5,Positive,1
👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎Poor quality 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎READ MORE,poor quality,poor quality,1,Negative,0
Quality not good              It was broken after 2 matchREAD MORE,quality not good it was broken after match,quality good broken match,1,Negative,0
Nice product but damage in 1 daysREAD MORE,nice product but damage in days,nice product damage day,2,Negative,0
Not good at all this is the worst product I have bought at flipkartREAD MORE,not good at all this is the worst product i have bought at flipkart,good worst product bought flipkart,1,Negative,0
Low quality. Not durabalityREAD MORE,low quality not durabality,low quality durabality,5,Positive,1
BadlyREAD MORE,badly,badly,1,Negative,0
Very bad product a word to describe I write duplicate productREAD MORE,very bad product a word to describe i write duplicate product,bad product word describe write duplicate product,1,Negative,0
This time quality very very worstREAD MORE,this time quality very very worst,time quality worst,1,Negative,0
"This shuttles were duplicates, these were not up to the mark.READ MORE",this shuttles were duplicates these were not up to the mark,shuttle duplicate mark,2,Negative,0
Very bad product I ever receivedREAD MORE,very bad product i ever received,bad product ever received,1,Negative,0
Bad copy quality riceveREAD MORE,bad copy quality riceve,bad copy quality riceve,1,Negative,0
Waste of moneyREAD MORE,waste of money,waste money,1,Negative,0
Quality is very bad and very very tired class shuttecockREAD MORE,quality is very bad and very very tired class shuttecock,quality bad tired class shuttecock,1,Negative,0
Reate is wery to muchREAD MORE,reate is wery to much,reate wery much,1,Negative,0
The worst shuttle ever I used so far. Don't buy this product. It is low in qualityREAD MORE,the worst shuttle ever i used so far dont buy this product it is low in quality,worst shuttle ever used far dont buy product low quality,1,Negative,0
not upto mark cork getting cracksREAD MORE,not upto mark cork getting cracks,upto mark cork getting crack,2,Negative,0
Very poor quality Is not lasting for one set. Base is breakinf and the top is wornREAD MORE,very poor quality is not lasting for one set base is breakinf and the top is worn,poor quality lasting one set base breakinf top worn,1,Negative,0
